"source","target","dst_port","weight","type","time","diff"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","261","graph_edge","1771677208406","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","261","graph_edge","1771677208406","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","261","graph_edge","1771677208406","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","313","graph_edge","1771677208406","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","313","graph_edge","1771677208406","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","313","graph_edge","1771677208406","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","313","graph_edge","1771677208406","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","313","graph_edge","1771677208406","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","313","graph_edge","1771677208532","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","313","graph_edge","1771677208532","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","313","graph_edge","1771677208532","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","313","graph_edge","1771677208532","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","313","graph_edge","1771677208532","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","528","graph_edge","1771677208532","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","528","graph_edge","1771677208532","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","528","graph_edge","1771677208532","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","528","graph_edge","1771677208532","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","528","graph_edge","1771677208532","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","528","graph_edge","1771677209184","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","528","graph_edge","1771677209184","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","528","graph_edge","1771677209184","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","528","graph_edge","1771677209184","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","528","graph_edge","1771677209184","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","656","graph_edge","1771677209184","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","656","graph_edge","1771677209184","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","656","graph_edge","1771677209184","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","656","graph_edge","1771677209184","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","656","graph_edge","1771677209184","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","656","graph_edge","1771677209310","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","656","graph_edge","1771677209310","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","656","graph_edge","1771677209310","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","656","graph_edge","1771677209310","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","656","graph_edge","1771677209310","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","21","graph_edge","1771677210090","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","21","graph_edge","1771677210090","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","21","graph_edge","1771677210090","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","21","graph_edge","1771677210090","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","21","graph_edge","1771677210090","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","21","graph_edge","1771677210732","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","21","graph_edge","1771677210732","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","21","graph_edge","1771677210732","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","21","graph_edge","1771677210732","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","21","graph_edge","1771677210732","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","36","graph_edge","1771677210732","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","36","graph_edge","1771677210732","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","36","graph_edge","1771677210732","1"
