"data","time","diff"
"Flow: 175.41.165.139:8000 -> 192.168.1.20:46435 | Description:  | Score: 0.30 | Confidence: 0.90 | Packets: 33 | Bytes: 21626 | Duration: 0.43s","1771757753126","1"
"Flow: 192.168.1.12:46435 -> 192.168.1.20:8000 | Description: Potential Slow DoS Pattern | Score: 0.30 | Confidence: 0.70 | Packets: 36 | Bytes: 21852 | Duration: 2.69s","1771757753340","-1"
"Flow: 175.41.165.139:8000 -> 192.168.1.20:46435 | Description:  | Score: 0.30 | Confidence: 0.90 | Packets: 33 | Bytes: 21626 | Duration: 0.43s","1771757753340","-1"
"Flow: 192.168.1.12:46435 -> 192.168.1.20:8000 | Description: Potential Slow DoS Pattern | Score: 0.30 | Confidence: 0.70 | Packets: 38 | Bytes: 22131 | Duration: 3.61s","1771757753340","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description:  | Score: 0.30 | Confidence: 0.70 | Packets: 35 | Bytes: 21905 | Duration: 1.35s","1771757753340","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 1 | Bytes: 66 | Duration: 0.00s","1771757763626","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 2 | Bytes: 132 | Duration: 0.17s","1771757764352","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description:  | Score: 0.00 | Confidence: 0.70 | Packets: 4 | Bytes: 240 | Duration: 0.21s","1771757769626","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description:  | Score: 0.00 | Confidence: 0.70 | Packets: 2 | Bytes: 132 | Duration: 0.13s","1771757774126","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 6 | Bytes: 372 | Duration: 4.30s","1771757774126","1"
"Flow: 175.41.165.139:8000 -> 192.168.1.20:46435 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.70 | Packets: 4 | Bytes: 240 | Duration: 0.15s","1771757781626","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.70 | Packets: 6 | Bytes: 372 | Duration: 2.43s","1771757784626","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.70 | Packets: 6 | Bytes: 372 | Duration: 2.43s","1771757786126","-1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 6 | Bytes: 372 | Duration: 2.43s","1771757786126","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 1 | Bytes: 66 | Duration: 0.00s","1771757795126","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 1 | Bytes: 66 | Duration: 0.00s","1771757795396","-1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 2 | Bytes: 132 | Duration: 0.34s","1771757795396","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 2 | Bytes: 132 | Duration: 0.00s","1771757799626","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 1 | Bytes: 66 | Duration: 0.00s","1771757805626","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 1 | Bytes: 66 | Duration: 0.00s","1771757805914","-1"
